Scope,Example,Sequence,Detector,Tracker,Frames,GroundTruthCount,PredictionCount,Matches,MOTA,MOTP,IDF1,FAF,MT,ML,FP,FN,IDSW,Frag
sequence,MOT17-10,MOT17-10-SDP,SDP,SORT,654,17450,12835,10308,0.41902578796561607,0.7958014730629169,0.38963183093940895,3.863914373088685,35,18,2527,7142,469,399
sequence,MOT17-11,MOT17-11-DPM,DPM,Naive IoU,900,10617,14338,5583,-0.3290948478854667,0.7806189280198815,0.2645562011620918,9.727777777777778,15,41,8755,5034,322,211
sequence,MOT17-11,MOT17-11-DPM,DPM,SORT,900,10617,14367,6108,-0.23123292832250164,0.7764621235191769,0.2662504002561639,9.176666666666666,20,36,8259,4509,304,121
sequence,MOT17-11,MOT17-11-FRCNN,FRCNN,Naive IoU,900,10617,6772,5727,0.43317321277196946,0.9083880203634908,0.47512795445396516,1.1611111111111112,18,39,1045,4890,83,77
sequence,MOT17-11,MOT17-11-FRCNN,FRCNN,SORT,900,10617,6752,5964,0.48139775831214093,0.9036588393463137,0.49237146640566526,0.8755555555555555,22,35,788,4653,65,55
sequence,MOT17-11,MOT17-11-SDP,SDP,Naive IoU,900,10617,8828,7231,0.5122916077988132,0.8477054120317311,0.5102597068655181,1.7744444444444445,35,20,1597,3386,195,280
sequence,MOT17-11,MOT17-11-SDP,SDP,SORT,900,10617,8753,7728,0.6165583498163323,0.849844006389234,0.5433144037170883,1.1388888888888888,46,17,1025,2889,157,124
sequence,MOT17-13,MOT17-13-DPM,DPM,Naive IoU,750,20202,12050,3282,-0.3022968022968023,0.7264245738213488,0.10318739923105544,11.690666666666667,10,131,8768,16920,621,521
sequence,MOT17-13,MOT17-13-DPM,DPM,SORT,750,20202,11457,4130,-0.1827046827046827,0.7157920883264907,0.14902555355507122,9.769333333333334,12,125,7327,16072,494,365
sequence,MOT17-13,MOT17-13-FRCNN,FRCNN,Naive IoU,750,20202,13004,6920,-0.003564003564003564,0.8282143394641761,0.225621875564657,8.112,37,97,6084,13282,908,509
sequence,MOT17-13,MOT17-13-FRCNN,FRCNN,SORT,750,20202,12605,7532,0.08395208395208395,0.8150107437789003,0.29731459749443717,6.764,43,89,5073,12670,763,445
sequence,MOT17-13,MOT17-13-SDP,SDP,Naive IoU,750,20202,11812,6984,0.06717156717156716,0.7899653894625677,0.27063159867557945,6.437333333333333,50,111,4828,13218,799,422
sequence,MOT17-13,MOT17-13-SDP,SDP,SORT,750,20202,10757,7468,0.18612018612018613,0.7916144029170985,0.34917148486708227,4.3853333333333335,50,103,3289,12734,419,298
aggregate,ALL,ALL,ALL,Naive IoU,15948,614103,307253,195672,0.12290609230047728,0.8264891339483091,0.2762602077807058,6.996551291698019,407,1161,111581,418431,8614,11102
aggregate,ALL,ALL,ALL,SORT,15948,614103,304789,212684,0.18451953499657223,0.8209928180550644,0.28917435346047193,5.775332330072737,501,1067,92105,401419,7265,6500
aggregate,ALL,ALL,DPM,Naive IoU,5316,204701,129251,51755,-0.14481121245133147,0.7545774275245533,0.16259821770793406,14.577878103837472,67,458,77496,152946,3902,4789
aggregate,ALL,ALL,DPM,SORT,5316,204701,128723,59752,-0.06179256574222891,0.7484017880201884,0.16202792840347424,12.974228743416102,95,408,68971,144949,3430,2594
aggregate,ALL,ALL,FRCNN,Naive IoU,5316,204701,78933,63877,0.2294615072715815,0.8787294253897856,0.32216871038027883,2.832204665161776,132,385,15056,140824,1850,1637
aggregate,ALL,ALL,FRCNN,SORT,5316,204701,78465,66865,0.26171831109764976,0.8708883428062241,0.34078950156445337,2.18209179834462,152,363,11600,137836,1691,1335
aggregate,ALL,ALL,SDP,Naive IoU,5316,204701,99069,80040,0.28406798208118184,0.8312971957868185,0.3583500674852685,3.579571106094808,208,318,19029,124661,2862,4676
aggregate,ALL,ALL,SDP,SORT,5316,204701,97601,86067,0.35363285963429586,0.8326255572484559,0.3810626459633082,2.1696764484574866,254,296,11534,118634,2144,2571
